Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1172.0,1190.0,1170.51,1189.01,1189.01,2694500
2018-01-03,1188.3,1205.49,1188.3,1204.2,1204.2,3108800
2018-01-04,1205.0,1215.87,1204.66,1209.59,1209.59,3022100
2018-01-05,1217.51,1229.14,1210.0,1229.14,1229.14,3544700
2018-01-08,1236.0,1253.08,1232.03,1246.87,1246.87,4279500
2018-01-09,1256.9,1259.33,1241.76,1252.7,1252.7,3661300
2018-01-10,1245.15,1254.33,1237.23,1254.33,1254.33,2686000
2018-01-11,1259.74,1276.77,1256.46,1276.68,1276.68,3125000
2018-01-12,1273.39,1305.76,1273.39,1305.2,1305.2,5443700
2018-01-16,1323.0,1339.94,1292.3,1304.86,1304.86,7220700
2018-01-17,1312.24,1314.0,1280.88,1295.0,1295.0,5253800
2018-01-18,1293.95,1304.6,1284.02,1293.32,1293.32,4026900
2018-01-19,1312.0,1313.0,1292.99,1294.58,1294.58,4578500
2018-01-22,1297.17,1327.45,1296.66,1327.31,1327.31,4140100
2018-01-23,1338.09,1364.9,1337.34,1362.54,1362.54,5169300
2018-01-24,1374.82,1388.16,1338.0,1357.51,1357.51,6807500
2018-01-25,1368.0,1378.34,1357.62,1377.95,1377.95,4753000
2018-01-26,1392.01,1402.53,1380.91,1402.05,1402.05,4857300
2018-01-29,1409.18,1431.39,1400.44,1417.68,1417.68,5701900
2018-01-30,1403.17,1439.25,1392.0,1437.82,1437.82,5871900
2018-01-31,1451.3,1472.58,1450.04,1450.89,1450.89,6424700
2018-02-01,1445.0,1459.88,1385.14,1390.0,1390.0,9113800
2018-02-02,1477.39,1498.0,1414.0,1429.95,1429.95,11125700
2018-02-05,1402.62,1458.98,1320.72,1390.0,1390.0,11495000
2018-02-06,1361.46,1443.99,1351.79,1442.84,1442.84,11066800
2018-02-07,1449.0,1460.99,1415.15,1416.78,1416.78,7162700
2018-02-08,1429.68,1433.75,1349.94,1350.5,1350.5,8578600
2018-02-09,1373.49,1383.5,1265.93,1339.6,1339.6,14141500
2018-02-12,1364.67,1393.81,1344.01,1386.23,1386.23,6738900
2018-02-13,1385.93,1419.72,1383.53,1414.51,1414.51,5917900
2018-02-14,1406.25,1452.06,1403.36,1451.05,1451.05,5959200
2018-02-15,1466.89,1468.94,1436.84,1461.76,1461.76,5652700
2018-02-16,1457.37,1465.8,1446.56,1448.69,1448.69,4472600
2018-02-20,1446.49,1488.77,1446.49,1468.35,1468.35,6499200
2018-02-21,1485.0,1503.49,1478.92,1482.92,1482.92,6304400
2018-02-22,1495.36,1502.54,1475.76,1485.34,1485.34,4858100
2018-02-23,1495.34,1500.0,1486.5,1500.0,1500.0,4418100
2018-02-26,1509.2,1522.84,1507.0,1521.95,1521.95,4955000
2018-02-27,1524.5,1526.78,1507.21,1511.98,1511.98,4808800
2018-02-28,1519.51,1528.7,1512.0,1512.45,1512.45,4515000
2018-03-01,1513.6,1518.49,1465.0,1493.45,1493.45,6835200
2018-03-02,1469.1,1501.05,1455.01,1500.25,1500.25,6587600
2018-03-05,1494.24,1525.38,1481.0,1523.61,1523.61,5233900
2018-03-06,1533.2,1542.13,1528.0,1537.64,1537.64,4561700
2018-03-07,1526.52,1545.9,1522.51,1545.0,1545.0,4174100
2018-03-08,1550.0,1554.88,1545.25,1551.86,1551.86,3862600
2018-03-09,1563.5,1578.94,1559.08,1578.89,1578.89,4534300
2018-03-12,1592.6,1605.33,1586.7,1598.39,1598.39,5174200
2018-03-13,1615.96,1617.54,1578.01,1588.18,1588.18,6531900
2018-03-14,1597.0,1606.44,1590.89,1591.0,1591.0,4259400
2018-03-15,1595.0,1596.91,1578.11,1582.32,1582.32,4069700
2018-03-16,1583.45,1589.44,1567.5,1571.68,1571.68,5425000
2018-03-19,1554.53,1561.66,1525.35,1544.93,1544.93,6580800
2018-03-20,1550.34,1587.0,1545.41,1586.51,1586.51,4581600
2018-03-21,1586.45,1590.0,1563.17,1581.86,1581.86,4750800
2018-03-22,1565.47,1573.85,1542.4,1544.92,1544.92,6320600
2018-03-23,1539.01,1549.02,1495.36,1495.56,1495.56,8006000
2018-03-26,1530.0,1556.99,1499.25,1555.86,1555.86,5624700
2018-03-27,1572.4,1575.97,1482.32,1497.05,1497.05,6999600
2018-03-28,1447.0,1455.9,1386.17,1431.42,1431.42,13705300
2018-03-29,1406.0,1455.47,1365.2,1447.34,1447.34,12581100
2018-04-02,1417.62,1421.36,1355.0,1371.99,1371.99,10463600
2018-04-03,1391.38,1414.0,1355.33,1392.05,1392.05,10231200
2018-04-04,1358.24,1415.39,1352.88,1410.57,1410.57,6982300
2018-04-05,1441.99,1459.56,1427.07,1451.75,1451.75,6413500
2018-04-06,1429.97,1452.5,1400.26,1405.23,1405.23,5882300
2018-04-09,1425.03,1438.48,1402.57,1406.08,1406.08,4208200
2018-04-10,1431.99,1438.38,1415.7,1436.22,1436.22,4254100
